file_name,row_ref,loan_id,defect_class,rule_code,field_name,injected_value,note
loan_tape.csv,loan_tape#01049,LN-001049,MISSING_LOAN_ID,,loan_id,,"quarantined, never validated"
loan_tape.csv,loan_tape#00228,LN-000228,MISSING_LOAN_ID,,loan_id,,"quarantined, never validated"
loan_tape.csv,loan_tape#00963,LN-000963,MISSING_LOAN_ID,,loan_id,,"quarantined, never validated"
loan_tape.csv,loan_tape#00317,LN-000317,MISSING_LOAN_ID,,loan_id,,"quarantined, never validated"
loan_tape.csv,loan_tape#00266,LN-000266,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#00416,LN-000416,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#00787,LN-000787,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#00515,LN-000515,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#00986,LN-000986,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#01005,LN-001005,MISSING_REQUIRED_FIELD,REQUIRED_CORE_FIELDS,original_principal,,
loan_tape.csv,loan_tape#00248,LN-000248,DUPLICATE_LOAN_ID,DUPLICATE_LOAN_ID,loan_id,LN-000483,clone of LN-000483
loan_tape.csv,loan_tape#01097,LN-001097,DUPLICATE_LOAN_ID,DUPLICATE_LOAN_ID,loan_id,LN-000289,clone of LN-000289
loan_tape.csv,loan_tape#00406,LN-000406,DUPLICATE_LOAN_ID,DUPLICATE_LOAN_ID,loan_id,LN-000185,clone of LN-000185
loan_tape.csv,loan_tape#00994,LN-000994,DUPLICATE_LOAN_ID,DUPLICATE_LOAN_ID,loan_id,LN-000702,clone of LN-000702
loan_tape.csv,loan_tape#00694,LN-000694,DUPLICATE_LOAN_ID,DUPLICATE_LOAN_ID,loan_id,LN-000279,clone of LN-000279
loan_tape.csv,loan_tape#00465,LN-000465,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,31/07/2024,
loan_tape.csv,loan_tape#00083,LN-000083,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,07-31-2024,
loan_tape.csv,loan_tape#00917,LN-000917,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,Jul 31 2024,
loan_tape.csv,loan_tape#00859,LN-000859,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,31/07/2024,
loan_tape.csv,loan_tape#01147,LN-001147,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,07-31-2024,
loan_tape.csv,loan_tape#00218,LN-000218,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,Jul 31 2024,
loan_tape.csv,loan_tape#00015,LN-000015,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,31/07/2024,
loan_tape.csv,loan_tape#00373,LN-000373,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,07-31-2024,
loan_tape.csv,loan_tape#00588,LN-000588,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,Jul 31 2024,
loan_tape.csv,loan_tape#01121,LN-001121,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,31/07/2024,
loan_tape.csv,loan_tape#00031,LN-000031,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,07-31-2024,
loan_tape.csv,loan_tape#01125,LN-001125,INVALID_DATE_FORMAT,INVALID_DATE_FORMAT,origination_date,Jul 31 2024,
loan_tape.csv,loan_tape#00751,LN-000751,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,"1,25,000",
loan_tape.csv,loan_tape#00721,LN-000721,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,$118500,
loan_tape.csv,loan_tape#00954,LN-000954,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,N/A,
loan_tape.csv,loan_tape#01026,LN-001026,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,"1,25,000",
loan_tape.csv,loan_tape#00065,LN-000065,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,$118500,
loan_tape.csv,loan_tape#01175,LN-001175,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,N/A,
loan_tape.csv,loan_tape#00348,LN-000348,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,"1,25,000",
loan_tape.csv,loan_tape#00527,LN-000527,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,$118500,
loan_tape.csv,loan_tape#00601,LN-000601,INVALID_NUMERIC_FORMAT,INVALID_NUMERIC_FORMAT,current_balance,N/A,
loan_tape.csv,loan_tape#00398,LN-000398,MATURITY_BEFORE_ORIGINATION,MATURITY_AFTER_ORIGINATION,maturity_date,2023-04-22,
loan_tape.csv,loan_tape#00277,LN-000277,MATURITY_BEFORE_ORIGINATION,MATURITY_AFTER_ORIGINATION,maturity_date,2021-06-11,
loan_tape.csv,loan_tape#00437,LN-000437,MATURITY_BEFORE_ORIGINATION,MATURITY_AFTER_ORIGINATION,maturity_date,2020-02-25,
loan_tape.csv,loan_tape#00810,LN-000810,MATURITY_BEFORE_ORIGINATION,MATURITY_AFTER_ORIGINATION,maturity_date,2019-06-25,
loan_tape.csv,loan_tape#00382,LN-000382,MATURITY_BEFORE_ORIGINATION,MATURITY_AFTER_ORIGINATION,maturity_date,2023-05-31,
loan_tape.csv,loan_tape#00333,LN-000333,NEGATIVE_PRINCIPAL,NON_NEGATIVE_PRINCIPAL,original_principal,-52811.26,
loan_tape.csv,loan_tape#00249,LN-000249,NEGATIVE_PRINCIPAL,NON_NEGATIVE_PRINCIPAL,original_principal,-676386.71,
loan_tape.csv,loan_tape#00801,LN-000801,NEGATIVE_PRINCIPAL,NON_NEGATIVE_PRINCIPAL,original_principal,-609811.14,
loan_tape.csv,loan_tape#00078,LN-000078,NEGATIVE_BALANCE,NON_NEGATIVE_BALANCE,current_balance,-17114.87,
loan_tape.csv,loan_tape#00788,LN-000788,NEGATIVE_BALANCE,NON_NEGATIVE_BALANCE,current_balance,-35570.18,
loan_tape.csv,loan_tape#00784,LN-000784,NEGATIVE_BALANCE,NON_NEGATIVE_BALANCE,current_balance,-19277.31,
loan_tape.csv,loan_tape#01130,LN-001130,NEGATIVE_BALANCE,NON_NEGATIVE_BALANCE,current_balance,-23198.12,
